"","Local","parcela","Evento","A","P","Imed","I30max","EI30","Vol","Lamina","C","qmax","qmed","Ia","PS","CSSmax","CSSmed","PSesp","CentQ","CentP","Tlw","Tw","Tb","Tlp","Tlpc","Tlc","Tr","Tc","TQC","IH","Qmid","Tempo.retorno"
"127","Guarapuava","PST","08/03/2023",11000,81.11186441,37.4362451,"84.49152542","122834.7963",329.6732841,29.97029856,36.94934,193.5841777,53.8681837,51.14156585,NA,NA,NA,NA,92.00000002,69.99999999,58.00000003,130,99.99999994,82.00000008,24.00000005,22.00000003,47.99999996,2.000000017,NA,NA,96.79208884,15.79002171
"128","Guarapuava","PST","10/07/2023",11000,99.46712329,6.939566741,"21.17260274","30969.24432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,445,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.174341894
"129","PCB","PST","16/01/2023",20000,24.4,27.11111111,"46.4",NA,14.67,0.73,3.01,15.42,4.51,23.67,1.25,0.53,"0.18",0.06,22,17,17,54,72,25,8,5,22,18,13,NA,NA,NA
"130","PCB","PST","17/01/2023",20000,17.6,22.96,"32,8",NA,4.21,0.21,1.2,3.44,0.88,17.39,NA,NA,NA,NA,48,26,24,46,48,48,22,22,20,30,NA,NA,NA,NA
"131","PCB","PST","17/01/2023",20000,29.2,25.76,"42",NA,92.8,4.64,15.89,42.06,11.9,24.56,NA,NA,NA,NA,34,34,32,66,96,56,24,0,10,52,NA,NA,NA,NA
"132","PCB","PST","17/01/2023",20000,10.8,10.125,"60",NA,24.12,1.21,11.17,16.32,5.74,9.59,NA,NA,NA,NA,12,6,4,62,62,10,8,6,8,40,NA,NA,NA,NA
"133","PCB","PST","17/01/2023",20000,18.8,18.8,"30",NA,19.77,0.99,5.26,8.87,3.3,17.81,NA,NA,NA,NA,18,10,8,60,88,44,36,8,12,34,NA,NA,NA,NA
"134","PontaGrossa","PCT","02/09/2023",16037,14.88,11.9,"17.58",NA,0.09,0.005,0.04,0.17,NA,14.87,0.01,0.24,"0.12",0.000831244,41,35,35,70,16,41,6,6,8,-26,7,179.19,NA,NA
"135","PontaGrossa","PST","17/02/2023",14763,17.19,11.46,"18.23",NA,0.35,0.0239,0.13922,0.65,NA,17.16,NA,NA,NA,NA,54,39.99999999,39.99999999,85,21,49,9,14,1,-21,NA,NA,0.09,NA
"136","PontaGrossa","PST","02/03/2023",14763,14.3,19.07,"27.17",NA,0.37,0.02,0.17,0.47,NA,14.27,NA,NA,NA,NA,19,10,10,45,19,19,9,9,7,-14,NA,NA,0.07,NA
"137","PontaGrossa","PST","03/03/2023",14763,7.864485981,0.003276869,"15.25233645",NA,0.479044963,0.032449025,0.412601987,0.70625,NA,7.832036956,NA,NA,NA,NA,20.1,4.999999995,4.999999995,35,45.99999999,15.1,10.1,15.10000001,10,-16.09999999,NA,NA,0.067888821,NA
"138","PontaGrossa","PST","03/03/2023",14763,27.33,29.81,"19.59",NA,3.91,0.2649,0.96913,3.12,NA,27.06,NA,NA,NA,NA,39,19.99999999,19.99999999,50,62,39,19,19,21,-25,NA,NA,0.47,NA
"139","PontaGrossa","PST","03/03/2023",14763,14.35,19.13,"27.33",NA,1.08,0.0735,0.51196,0.72,NA,14.27,NA,NA,NA,NA,36,15,15,40,46,36,21,21,10,-17,NA,NA,0.1,NA
"140","PontaGrossa","PST","16/04/2023",14763,45.09,28.48,"49.56",NA,0.03,0.002,0.004,0.04,NA,45.09,0.002,0.1,"0.038363057",0.000132602,80,60,60,90,26,80,20,20,15,-1,0,17.42,NA,NA
"141","PontaGrossa","PST","18/04/2023",14763,10.97,14.63,"19.64",NA,0.04,0.003,0.03,0.1,NA,10.97,0.02,0.52,"0.2",0.001143732,16,10,10,40,12,16,6,6,6,-18,0,236.03,NA,NA
"142","PontaGrossa","PST","11/07/2023",14763,10.96,14.61,"18.19",NA,0.29,0.02,0.18,0.51,NA,10.94,0.15,0.59,"0.41",0.009945787,NA,15.00000001,15.00000001,45,25,NA,-15,NA,NA,5,NA,NA,NA,NA
"143","PontaGrossa","PST","27/07/2023",14763,13.33,17.78,"17.42",NA,0.73,0.049,0.37,0.55,NA,13.29,1.78,5.72,"1.75",0.120406715,22,20,20,40,37,17,-3,2,11,8,-5,5151.17,NA,NA
"144","PontaGrossa","PST","11/08/2023",14763,11.8,6.74,"9.08",NA,0.15,0.01,0.08,0.16,NA,11.79,0.05,0.64,"0.23",0.003486654,75,50,50,100,36,65,15,25,11,-5,0,487.74,NA,NA
"145","PontaGrossa","PST","24/08/2023",14763,10.67,21.33,"21.33",NA,3.14,0.213,1.99,9.92,NA,10.45,21.58,5.13,"1.42",1.461661425,20,15,15,25,17,20,5,5,5,7,0,4601.37,NA,NA
"146","PontaGrossa","PST","02/09/2023",14763,14.88,11.9,"17.58",NA,0.63,0.042,0.29,1.6,NA,14.83,0.88,1.98,"0.68",0.059850016,44,35,35,70,26,44,9,9,19,-24,0,-69.44,NA,NA
"147","Toledo","PCT","11/12/2019",8000,42,31.5,"77.81","86061.02",1.82,0.23,0.6,3.19,1.24,41.77,1.9,1.72,"0.76",0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Toledo","PCT","22/05/2020",8000,173,11.53,"*","*",11.78,1.47,0.85,8.05,0.37,171.53,20.98,6.11,"0.62.",2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Toledo","PCT","17/01/2021",8000,58,25.14,"38.56","71090.99",0.28,0.03,0.06,0.19,0.07,57.97,0.08,0.4,"0.03",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Toledo","PCT","15/10/2021",8000,72.2,10.07,"27.20","44221.87",2.8,0.35,0.48,1.46,0.15,71.85,1.09,0.97,"0.35",0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Toledo","PCT","23/10/2021",8000,27.1,31.03,"50.26","52492.04",2.16,0.27,0.9,2.39,0.48,26.83,1.53,1.4,"0.52",0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Toledo","PCT","12/04/2022",8000,57.2,31.48,"63.33","86101.54",8.97,1.12,1.75,3.88,1.44,56.08,2.42,0.79,"0.24",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Toledo","PCT","22/04/2022",8000,23.86,13.25,"36.06","17533.31",0.64,0.08,0.33,0.62,0.23,23.78,0.11,0.25,"0.13",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Toledo","PCT","23/04/2022",8000,36.94,18.17,"51.07","37536.27",5.47,0.68,1.85,6.65,1.38,36.26,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Toledo","PCT","21/09/2022",8000,11,4.5,"21.75","1222.45",0.25,0.03,0.27,2.24,0.1,10.97,0.01,0.03,"0.23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Toledo","PCT","06/10/2022",8000,27.8,32.8,"52.57","42945.02",2.81,0.35,1.39,3.84,1.13,27.45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Toledo","PCT","10/10/2022",8000,20.1,30.36,"37.60","10440.18",6.8,0.85,4.23,5.11,1.83,19.25,1.94,0.99,"0.19",0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Toledo","PCT","11/10/2022",8000,30.9,16.74,"25.08","18490.39",5.15,0.64,2.08,2.83,0.8,30.26,0.92,0.47,"0.18",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Toledo","PCT","11/10/2022",8000,10.7,13.3,"26.79","11314.89",5.06,0.63,2.69,2.45,0.96,10.07,0.72,8.57,"0.54",0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Toledo","PCT","20/10/2022",8000,10.1,38.03,"20.20","5069.5",0.39,0.05,0.49,0.35,0.24,10.05,2.64,8.57,"5.17",0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Toledo","PCT","20/10/2022",8000,17,73.2,"34.00","17114.58",10.95,1.37,8.05,13.31,2.95,15.63,62.51,15.93,"3.49",7.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Toledo","PCT","20/10/2022",8000,12.1,21.61,"24.79","8111.76",5.19,0.65,5.21,3.58,1.45,11.45,27.6,16.07,"3.26",3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Toledo","PCT","20/10/2022",8000,36.8,9.62,"23.73","19558.18",2.56,0.32,5.21,3.64,1.26,36.48,41.18,8,"2.33",5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Toledo","PCT","31/10/2022",8000,20.4,26.71,"34.77","14528.27",2.56,0.32,1.56,1.78,0.48,20.08,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Toledo","PCT","31/10/2022",8000,18.2,17.7,"28.60","13214.04",4.66,0.58,3.2,2.29,1.08,17.62,1.41,0.62,"0.20",0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
